epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6291,1.50728,2.37817,1.81242,0.51509,0.6886,0.61583,0.32973,1.15308,1.97692,1.41794,0.000413075,0.000413075,0.000413075
2,76.2668,1.19952,1.6553,1.49285,0.62074,0.63856,0.66944,0.40514,1.06992,1.70518,1.35582,0.000821527,0.000821527,0.000821527
3,94.9854,1.20236,1.58259,1.49799,0.71008,0.53735,0.6682,0.36845,1.12037,2.92021,1.40237,0.00122173,0.00122173,0.00122173
4,112.967,1.14705,1.46999,1.44656,0.71841,0.71262,0.80375,0.49462,0.91759,1.46467,1.26105,0.00121287,0.00121287,0.00121287
5,131.21,1.13016,1.46457,1.45164,0.74827,0.66815,0.75329,0.4618,0.89527,1.41016,1.23657,0.0012005,0.0012005,0.0012005
6,149.14,1.11444,1.4215,1.43764,0.83387,0.75036,0.81325,0.4496,1.02856,1.39458,1.32087,0.00118812,0.00118812,0.00118812
7,167.287,1.10051,1.41071,1.41253,0.89274,0.80294,0.89194,0.58031,0.91256,1.13905,1.24074,0.00117575,0.00117575,0.00117575
8,185.36,1.07105,1.34302,1.38639,0.90857,0.84961,0.91299,0.55272,0.91098,1.09671,1.25055,0.00116337,0.00116337,0.00116337
9,203.592,1.04902,1.30096,1.36751,0.89458,0.83226,0.88999,0.57181,0.85172,1.07464,1.17514,0.001151,0.001151,0.001151
10,221.56,1.04165,1.29003,1.36598,0.90508,0.825,0.89937,0.54828,0.93385,1.11786,1.24068,0.00113863,0.00113863,0.00113863
11,239.539,1.03135,1.28292,1.35267,0.89094,0.82895,0.88707,0.5002,0.93037,1.16389,1.24825,0.00112625,0.00112625,0.00112625
12,257.512,1.03388,1.26395,1.35152,0.92172,0.89058,0.93046,0.60111,0.8359,1.02735,1.16676,0.00111388,0.00111388,0.00111388
13,275.736,1.0167,1.24818,1.3398,0.92205,0.86783,0.9352,0.56336,0.94335,1.09577,1.24605,0.0011015,0.0011015,0.0011015
14,293.954,1.01825,1.24768,1.34615,0.93062,0.87924,0.94304,0.6088,0.87757,1.0171,1.20598,0.00108913,0.00108913,0.00108913
15,312.296,1.00842,1.22766,1.33424,0.89339,0.82787,0.88727,0.4759,1.05612,1.26721,1.35738,0.00107675,0.00107675,0.00107675
16,330.196,1.00256,1.19627,1.33576,0.94847,0.90807,0.95696,0.63639,0.86907,1.00655,1.2049,0.00106437,0.00106437,0.00106437
17,348.311,0.98438,1.186,1.32399,0.93108,0.86087,0.92778,0.60985,0.86247,1.04123,1.21057,0.001052,0.001052,0.001052
18,366.349,0.98687,1.20391,1.32577,0.9287,0.86916,0.92097,0.6043,0.96331,1.0441,1.28798,0.00103962,0.00103962,0.00103962
19,384.272,0.98344,1.1664,1.31922,0.9527,0.91587,0.95716,0.69539,0.79067,0.84953,1.1633,0.00102725,0.00102725,0.00102725
20,402.286,0.98951,1.15027,1.31348,0.91305,0.87891,0.94662,0.70194,0.7505,0.85661,1.11141,0.00101488,0.00101488,0.00101488
21,420.428,0.98332,1.14951,1.31614,0.94991,0.91555,0.9637,0.70187,0.80641,0.77642,1.15746,0.0010025,0.0010025,0.0010025
22,438.379,0.9689,1.13352,1.305,0.9428,0.89055,0.96057,0.65084,0.91677,0.86429,1.19767,0.000990125,0.000990125,0.000990125
23,456.222,0.98532,1.13297,1.31093,0.9157,0.89391,0.95074,0.68982,0.82502,0.82271,1.18305,0.00097775,0.00097775,0.00097775
24,474.381,0.96139,1.14298,1.30516,0.94148,0.91842,0.96536,0.72605,0.74953,0.76745,1.1271,0.000965375,0.000965375,0.000965375
25,492.325,0.95583,1.10971,1.2954,0.93747,0.91439,0.94706,0.68223,0.81111,0.8172,1.16324,0.000953,0.000953,0.000953
26,510.473,0.95207,1.09964,1.28807,0.91051,0.88627,0.93318,0.64228,0.90422,0.78917,1.19579,0.000940625,0.000940625,0.000940625
27,528.453,0.94753,1.07706,1.2883,0.94748,0.91864,0.96319,0.69358,0.86282,0.7018,1.1856,0.00092825,0.00092825,0.00092825
28,546.882,0.94856,1.08328,1.28764,0.95444,0.91071,0.96616,0.58531,1.20517,0.78838,1.41668,0.000915875,0.000915875,0.000915875
29,565.155,0.94044,1.07693,1.27782,0.94997,0.93476,0.96855,0.72217,0.79383,0.6411,1.11748,0.0009035,0.0009035,0.0009035
30,583.651,0.94668,1.06534,1.28147,0.95837,0.93692,0.97374,0.70967,0.81367,0.75228,1.14364,0.000891125,0.000891125,0.000891125
31,601.78,0.93934,1.06278,1.28332,0.94636,0.91549,0.97055,0.69068,0.89177,0.75497,1.20326,0.00087875,0.00087875,0.00087875
32,620.089,0.94237,1.06594,1.28629,0.9515,0.94164,0.97882,0.72656,0.80895,0.64789,1.13348,0.000866375,0.000866375,0.000866375
33,638.464,0.92142,1.03562,1.26628,0.90714,0.87353,0.9466,0.71182,0.76197,0.80165,1.11647,0.000854,0.000854,0.000854
34,656.895,0.92628,1.04408,1.26761,0.95985,0.93959,0.97656,0.71974,0.84226,0.68571,1.14689,0.000841625,0.000841625,0.000841625
35,675.286,0.92628,1.0424,1.26975,0.96422,0.93876,0.97984,0.77634,0.70603,0.61476,1.08404,0.00082925,0.00082925,0.00082925
36,693.445,0.91706,1.02409,1.26181,0.95567,0.93109,0.97528,0.65507,1.06238,0.66439,1.30025,0.000816875,0.000816875,0.000816875
37,711.761,0.91572,1.02758,1.26017,0.96155,0.9327,0.97698,0.73057,0.83222,0.63267,1.14677,0.0008045,0.0008045,0.0008045
38,729.747,0.91425,1.0309,1.26824,0.96455,0.93481,0.98101,0.75909,0.77323,0.58466,1.11639,0.000792125,0.000792125,0.000792125
39,748.051,0.91678,1.00774,1.26776,0.95099,0.92299,0.97809,0.65998,1.0324,0.66761,1.26643,0.00077975,0.00077975,0.00077975
40,766.232,0.90716,0.97483,1.25857,0.97503,0.93551,0.98234,0.78438,0.70226,0.55057,1.07319,0.000767375,0.000767375,0.000767375
41,784.378,0.90529,1.00426,1.25638,0.96251,0.94816,0.98201,0.75188,0.76303,0.6219,1.10765,0.000755,0.000755,0.000755
42,802.558,0.90991,0.98785,1.26312,0.96609,0.93781,0.97985,0.74256,0.84527,0.58635,1.15193,0.000742625,0.000742625,0.000742625
43,820.681,0.91101,0.97846,1.25859,0.9723,0.93494,0.983,0.7026,0.97371,0.60933,1.23295,0.00073025,0.00073025,0.00073025
44,838.85,0.9155,0.97583,1.25851,0.96772,0.93878,0.98413,0.80253,0.67608,0.51049,1.05929,0.000717875,0.000717875,0.000717875
45,856.951,0.90109,0.97064,1.25889,0.95685,0.93918,0.97841,0.76701,0.77963,0.55982,1.11843,0.0007055,0.0007055,0.0007055
46,875.087,0.89939,0.98075,1.2534,0.96766,0.93083,0.98245,0.79711,0.68505,0.53994,1.06089,0.000693125,0.000693125,0.000693125
47,892.792,0.88932,0.96836,1.25577,0.96624,0.93692,0.9815,0.74457,0.8375,0.56414,1.13598,0.00068075,0.00068075,0.00068075
48,910.692,0.88569,0.94232,1.24386,0.96578,0.94203,0.97953,0.78569,0.70069,0.54681,1.06602,0.000668375,0.000668375,0.000668375
49,928.606,0.89457,0.95447,1.24971,0.9754,0.94769,0.98779,0.75058,0.85133,0.51527,1.15417,0.000656,0.000656,0.000656
50,946.784,0.884,0.95033,1.24782,0.96053,0.93583,0.97308,0.75905,0.76339,0.56077,1.10654,0.000643625,0.000643625,0.000643625
51,964.954,0.8912,0.96421,1.24831,0.96802,0.9531,0.98327,0.82055,0.63658,0.49627,1.03224,0.00063125,0.00063125,0.00063125
52,983.025,0.87967,0.92521,1.23412,0.97228,0.94439,0.98517,0.78901,0.72961,0.50025,1.08115,0.000618875,0.000618875,0.000618875
53,1000.91,0.8781,0.94093,1.24038,0.96868,0.94667,0.98754,0.75193,0.84613,0.50148,1.14741,0.0006065,0.0006065,0.0006065
54,1019.33,0.86881,0.92373,1.23217,0.96468,0.955,0.98694,0.80384,0.70432,0.46623,1.06611,0.000594125,0.000594125,0.000594125
55,1037.32,0.87647,0.90344,1.22972,0.96495,0.95381,0.98638,0.80666,0.6922,0.48659,1.05304,0.00058175,0.00058175,0.00058175
56,1055.4,0.87948,0.93786,1.23897,0.98163,0.9388,0.98412,0.81042,0.66556,0.48528,1.04799,0.000569375,0.000569375,0.000569375
57,1073.56,0.87192,0.9215,1.23003,0.97855,0.94391,0.98759,0.81121,0.70263,0.45649,1.06353,0.000557,0.000557,0.000557
58,1092.13,0.86973,0.89475,1.2288,0.97745,0.94182,0.98692,0.79496,0.72467,0.46344,1.06556,0.000544625,0.000544625,0.000544625
59,1110.16,0.86874,0.92166,1.22757,0.968,0.94934,0.98656,0.78295,0.78787,0.47263,1.08213,0.00053225,0.00053225,0.00053225
60,1128.48,0.85178,0.88998,1.22244,0.9769,0.94899,0.9895,0.83279,0.62622,0.41398,1.02098,0.000519875,0.000519875,0.000519875
61,1146.6,0.8601,0.89236,1.22355,0.9728,0.94286,0.98711,0.81411,0.68006,0.43781,1.0418,0.0005075,0.0005075,0.0005075
62,1164.46,0.85858,0.88698,1.22757,0.9731,0.95223,0.98723,0.79056,0.74668,0.47111,1.06852,0.000495125,0.000495125,0.000495125
63,1182.58,0.85717,0.87888,1.22079,0.98017,0.95,0.98735,0.821,0.68095,0.42969,1.03665,0.00048275,0.00048275,0.00048275
64,1200.78,0.84444,0.86008,1.2067,0.97031,0.96284,0.98892,0.79027,0.75631,0.43272,1.07009,0.000470375,0.000470375,0.000470375
65,1218.94,0.84387,0.87462,1.21256,0.98209,0.95041,0.9896,0.79902,0.72145,0.43592,1.05866,0.000458,0.000458,0.000458
66,1237.33,0.85011,0.87094,1.21203,0.97595,0.95729,0.98862,0.76757,0.82066,0.45015,1.10818,0.000445625,0.000445625,0.000445625
