epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9363,1.58277,4.14093,1.72767,0.14294,0.13162,0.13096,0.06255,2.45746,14.6277,3.21039,0.000472155,0.000472155,0.000472155
2,64.8929,1.91089,2.61777,1.99496,0.3553,0.10981,0.01613,0.00623,2.73768,24.6954,3.6651,0.000939098,0.000939098,0.000939098
3,82.3897,1.88782,2.4858,1.98039,0.76397,0.11324,0.0843,0.03427,2.61425,14.7444,3.07733,0.00139661,0.00139661,0.00139661
4,99.3832,1.86539,2.46127,1.97044,0.8888,0.15308,0.18012,0.09175,2.06368,6.27096,2.39804,0.00138656,0.00138656,0.00138656
5,116.527,1.80571,2.34693,1.8781,0.85854,0.16881,0.18973,0.09978,1.98612,3.52876,2.24738,0.00137241,0.00137241,0.00137241
6,133.61,1.76023,2.3347,1.85419,0.89808,0.16166,0.18915,0.09805,1.90893,2.80494,2.31571,0.00135826,0.00135826,0.00135826
7,150.762,1.6911,2.15253,1.8025,0.89531,0.16023,0.18341,0.09594,1.95342,4.42199,2.29109,0.00134412,0.00134412,0.00134412
8,167.835,1.65849,2.12991,1.80024,0.87842,0.18741,0.21406,0.11467,1.97641,2.43755,2.28407,0.00132997,0.00132997,0.00132997
9,185.031,1.58537,1.96224,1.7322,0.87263,0.18884,0.21211,0.11897,1.78757,2.9059,2.07922,0.00131582,0.00131582,0.00131582
10,202.286,1.59486,1.97093,1.7436,0.89261,0.18598,0.25287,0.14056,1.72872,2.18906,2.06811,0.00130168,0.00130168,0.00130168
11,219.418,1.52163,1.88369,1.69955,0.92806,0.20794,0.27988,0.16663,1.56519,2.04623,1.99327,0.00128753,0.00128753,0.00128753
12,236.577,1.49999,1.8215,1.67055,0.91591,0.18026,0.22373,0.12883,1.757,2.10009,2.1376,0.00127338,0.00127338,0.00127338
13,253.871,1.47397,1.85559,1.67889,0.92632,0.18169,0.2245,0.1334,1.77324,2.40636,2.18627,0.00125923,0.00125923,0.00125923
14,271.072,1.43982,1.75654,1.6535,0.74558,0.2859,0.30132,0.17631,1.68879,1.79508,2.07414,0.00124509,0.00124509,0.00124509
15,288.01,1.43689,1.73952,1.63348,0.68531,0.28674,0.30625,0.18022,1.59638,1.85728,2.02771,0.00123094,0.00123094,0.00123094
16,305.178,1.37877,1.65791,1.59137,0.65679,0.29592,0.2893,0.17195,1.68567,1.93333,2.04167,0.00121679,0.00121679,0.00121679
17,322.303,1.34372,1.66845,1.55732,0.88916,0.2289,0.2644,0.15926,1.60659,2.4512,1.96609,0.00120265,0.00120265,0.00120265
18,339.509,1.33755,1.5846,1.55711,0.92514,0.21239,0.28667,0.16659,1.64413,1.84721,2.07429,0.0011885,0.0011885,0.0011885
19,356.46,1.34407,1.56452,1.55733,0.73198,0.29311,0.30618,0.19359,1.61284,1.85315,1.96333,0.00117435,0.00117435,0.00117435
20,373.615,1.3156,1.54957,1.53346,0.92732,0.20524,0.26075,0.15652,1.52627,1.92703,1.90315,0.00116021,0.00116021,0.00116021
21,390.779,1.29791,1.4622,1.5168,0.88973,0.2731,0.30129,0.19039,1.66534,1.84735,2.08708,0.00114606,0.00114606,0.00114606
22,407.943,1.29528,1.52254,1.5053,0.7222,0.28056,0.31676,0.19013,1.61919,1.66739,1.98123,0.00113191,0.00113191,0.00113191
23,425.226,1.26817,1.48791,1.50296,0.76996,0.31297,0.32457,0.20203,1.66545,1.95197,2.003,0.00111776,0.00111776,0.00111776
24,442.361,1.25439,1.42113,1.50495,0.61578,0.27833,0.301,0.18523,1.46494,1.78535,1.8734,0.00110362,0.00110362,0.00110362
25,459.538,1.24772,1.45181,1.50128,0.66757,0.3686,0.34898,0.21348,1.55316,1.66637,1.97339,0.00108947,0.00108947,0.00108947
26,476.723,1.21956,1.34502,1.47286,0.79251,0.26021,0.32432,0.20383,1.45207,1.61026,1.89531,0.00107532,0.00107532,0.00107532
27,494.098,1.21519,1.35929,1.4655,0.75317,0.28126,0.31515,0.18941,1.44471,1.71871,1.84124,0.00106118,0.00106118,0.00106118
28,511.233,1.20727,1.3625,1.45518,0.74855,0.26741,0.31442,0.19841,1.46315,1.72944,1.91001,0.00104703,0.00104703,0.00104703
29,528.354,1.18826,1.37412,1.44529,0.79758,0.29581,0.33366,0.20752,1.51901,1.73163,1.92683,0.00103288,0.00103288,0.00103288
30,545.478,1.19226,1.33811,1.44007,0.68674,0.29213,0.3405,0.20661,1.45668,1.63728,1.89591,0.00101873,0.00101873,0.00101873
31,562.744,1.15168,1.26577,1.4188,0.37384,0.39379,0.36132,0.21378,1.50674,1.56958,1.91237,0.00100459,0.00100459,0.00100459
32,580.053,1.14893,1.28435,1.41652,0.78176,0.293,0.35082,0.23267,1.44964,1.54677,1.89011,0.00099044,0.00099044,0.00099044
33,597.197,1.15122,1.23137,1.41133,0.6929,0.30244,0.34926,0.21247,1.46981,1.5834,1.85116,0.000976293,0.000976293,0.000976293
34,614.443,1.1371,1.25845,1.42477,0.37961,0.43168,0.36051,0.20537,1.50051,1.56296,1.89814,0.000962146,0.000962146,0.000962146
